FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-07;INQUESTA SRL EN FORMACION;13101225-PX8_ENT;94,01;358292;31415;9308,62;0,3
2026-06-07;LINEIP S.R.L.;13097620-PX8-ENT;88,53;114861;27519;17219,45;0,63
2026-06-07;ANALOGIAS SRL;13091636-PX8-ENT;21,09;102033;6257;3173,22;0,51
2026-06-07;INFOBIP LATAM SA;13091711-PX8-ENT;93,93;63188;41827;14968,83;0,36
2026-06-07;TELECOM ARGENTINA S.A.;TECO-AMBA-SIP-ENT;86,75;54405;38347;104654,27;2,73
2026-06-07;TELEFONICA DE ARGENTINA S.A.;TASA-AMBA-SIP-ENT;91,99;51082;36362;125430,98;3,45
2026-06-07;BICENTEL, LLC;1979876-ENT;90,71;40247;15595;8923,8;0,57
2026-06-07;AMX ARGENTINA S.A.;CLARO-SIP-LD-ENT;88,86;25534;17212;36948,73;2,15
2026-06-07;TIWS ARGENTINA II S.A;2039340-ENT;98,31;24689;17246;28826,73;1,67
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13097097-QXTEL-ENT;65,28;18187;361;518,45;1,44
2026-06-07;MARTINEZ MAXIMILIANO ALBERTO;1958745-ENT;33,04;17754;2186;998,55;0,46
2026-06-07;CETROGAR SA;2485421-ENT;87,93;17359;6977;794,62;0,11
2026-06-07;IDT CORPORATION DE ARGENTINA S.A.;1770870-ENT;37,75;16491;855;494,07;0,58
2026-06-07;RICARDO MULLER;652367-ENT;32,66;15232;1145;139,87;0,12
2026-06-07;MARTINEZ MAXIMILIANO ALBERTO;1958741-ENT;2,42;13142;100;42,43;0,42
2026-06-07;GREEN CONSULT SRL;2265352-ENT;5,1;11516;5;1,7;0,34
2026-06-07;NSS S.A.;ACME-RETAIL-IN;90,52;9085;4920;7506,78;1,53
2026-06-07;ATX;1610439-ENT;92,28;7945;3612;1153,23;0,32
2026-06-07;TELECOM ARGENTINA S.A.;POI-ROSARIO-SIP-ENT;98,96;7594;7417;7184,55;0,97
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13101024-MAXINFO-ENT;91,88;6972;3925;1020,38;0,26
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13093126-VIN-ENT;55,61;6536;367;347,12;0,95
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;2155169-TWILIO-ENT;98,89;5135;4091;1481,57;0,36
2026-06-07;PRO ACTION SERVICES S.A.;1452571-ENT;70,9;5108;687;457,72;0,67
2026-06-07;TELECENTRO S.A.;TELECENTRO-SIP-ENT;62,4;5100;2021;5757,52;2,85
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13080885-IPBTEL-ENT;63,12;4829;243;126,82;0,52
2026-06-07;IDT CORPORATION DE ARGENTINA S.A.;13091348-ENT;98,86;4303;778;396,85;0,51
2026-06-07;NSS S.A.;NOGEO-CVI-ENT;96,74;4282;4038;10153,08;2,51
2026-06-07;PROSPECTIVAS SA;13088557-ENT;20,73;3972;142;52,23;0,37
