FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-07;TELEFONICA DE ARGENTINA S.A.;TASA-AMBA-SIP-SAL;91,93;533289;106457;52987,53;0,5
2026-06-07;TELECOM ARGENTINA S.A.;TECO-AMBA-SIP-SAL;82,33;187366;45373;40944,17;0,9
2026-06-07;TELECOM ARGENTINA S.A.;POI-CORDOBA-SIP-SAL;35,77;40985;5837;2634,93;0,45
2026-06-07;TELECOM ARGENTINA S.A.;POI-ROSARIO-SIP-SAL;31,97;38834;4436;2352,78;0,53
2026-06-07;INFOBIP LATAM SA;INFOBIP-SAL;90,92;37773;24493;9683,43;0,4
2026-06-07;NSS S.A.;RutaAnuncios;0;22201;0;0;0
2026-06-07;NSS S.A.;VoiPack-out;97,65;21231;19940;30921,53;1,55
2026-06-07;BICENTEL, LLC;BICENTEL-DID-SAL;75,42;18645;8624;4464,05;0,52
2026-06-07;AMX ARGENTINA S.A.;CLARO-SIP-LD-SAL;84,47;15841;7507;4354,75;0,58
2026-06-07;CITYTECH SA;1893711-SAL;99,75;14818;14691;47998,58;3,27
2026-06-07;TELEGLOBE;422155-SAL;54,7;13884;1025;2349,02;2,29
2026-06-07;INTERLINK FIBER NETWORK SA;FIRBER-SAL;24,91;13423;1465;988,07;0,67
2026-06-07;NSS S.A.;CVI-RETAIL-OUT;98,83;7828;6822;15095,17;2,21
2026-06-07;TELECOM ARGENTINA S.A.;POI-RESTNCIA-SIP-SAL;62,35;6303;1764;676,08;0,38
2026-06-07;TELECOM ARGENTINA S.A.;POI-POSADAS-SIP-SAL;80,03;5015;1563;579,25;0,37
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;DIDWW-DK-SAL;97,8;4883;4674;22826,9;4,88
2026-06-07;BERGAGNA CARLOS SEBASTIAN;DAINUS-SAL;98,27;4410;737;13,03;0,02
2026-06-07;NSS S.A.;NOGEO-CVI-SAL;99,04;4152;4038;10148,03;2,51
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;9672318-SAL;16,83;4050;252;448,7;1,78
2026-06-07;TARJETA NARANJA SA;13081166-SAL;100;3790;3784;8521,68;2,25
2026-06-07;Eduardo Trotta;TROTTA-REVSHARINGSAL;98,56;3581;3498;60421,48;17,27
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;AVOXI-DID-SAL;39,89;3317;1316;7926,03;6,02
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;2155168-TWILIO-SAL;99,02;2408;2325;20206,43;8,69
2026-06-07;TELECOM ARGENTINA S.A.;POI-CRRNTES-SIP-SAL;84,77;2270;757;300,33;0,4
2026-06-07;TELECOM ARGENTINA S.A.;POI-FORMOSA-SIP-SAL;83,29;2262;678;240,82;0,36
2026-06-07;TELECOM ARGENTINA S.A.;POI-ARGUELLO-SIP-SAL;56,59;2116;146;87,27;0,6
2026-06-07;TIWS ARGENTINA II S.A;TIWS1-2033336-SAL;76,86;2039;1302;4639,5;3,56
2026-06-07;LINEIP S.R.L.;13097620-PX8-SAL;0;1425;0;0;0
2026-06-07;GM TELECOM CORPORATION;GM-DID-SAL;62,25;1400;856;11603,63;13,56
2026-06-07;TELECOM ARGENTINA S.A.;POI-PARANA-SIP-SAL;65,96;1141;250;60,87;0,24
2026-06-07;ORANGE BUSINESS SERVICES ARGENTINA SA;ORANGE-PRIMARY-SAL;100;1129;1008;2935,37;2,91
2026-06-07;AGINET S.A.;AGINET-08XX-SAL;0;1122;0;0;0
2026-06-07;TELECOM ARGENTINA S.A.;POI-SANTAFE-SIP-SAL;49,85;1105;171;212,75;1,24
2026-06-07;V.I.S. MEDIA GROUP S.A.;VIS-DID-SAL;100;1001;955;3562,72;3,73
2026-06-07;TELECOM ARGENTINA S.A.;POI-SALTA-SIP-SAL;81,74;985;282;151,27;0,54
2026-06-07;BELGACOM INTERNATIONAL CARRIER SERVICE S.A.;BICS-DID-SAL;94,55;944;781;3226,42;4,13
2026-06-07;TELECOM ARGENTINA S.A.;POI-SGESTERO-SIP-SAL;87,03;935;275;67,8;0,25
2026-06-07;TELETEL CHILE;413460-SAL;99,89;929;915;7666,25;8,38
2026-06-07;TELECOM ARGENTINA S.A.;POI-ESCOBAR-SIP-SAL;44,09;691;112;62,32;0,56
2026-06-07;NSS S.A.;407301-BASAM-SAL;98,2;672;653;1132,9;1,73
2026-06-07;TELECOM ARGENTINA S.A.;POI-CAMPANA-SIP-SAL;31,61;663;116;63,95;0,55
2026-06-07;TELECOM ARGENTINA S.A.;POI-SNICOLAS-SIP-SA;86,57;618;232;134,62;0,58
2026-06-07;TELECENTRO S.A.;TELECENTRO-LO-SAL;99,34;593;299;365,5;1,22
2026-06-07;LEVEL 3;LEVEL3-LO-SAL;99,8;561;505;807,47;1,6
2026-06-07;TELECOM ARGENTINA S.A.;POI-TUCUMAN-SIP-SAL;89,88;560;231;91,87;0,4
2026-06-07;TELEGLOBE;TATA-DID-SAL;100;554;514;872,4;1,7
2026-06-07;MERA SOLUTIONS SA;MERA-DID-SAL;100;540;538;1853,53;3,45
2026-06-07;ORANGE BUSINESS SERVICES ARGENTINA SA;ORANGE-800SIP-SAL;100;500;492;3443,05;7
2026-06-07;TELECOM ARGENTINA S.A.;POI-VCPAZ-SIP-SAL;81,69;478;174;30,88;0,18
2026-06-07;GLOBAL PROCESSING SA;1636352-SAL;100;462;229;202,4;0,88
2026-06-07;TELECOM ARGENTINA S.A.;POI-RIO4TO-SIP-SAL;64,29;427;108;61,83;0,57
2026-06-07;TELETEL S. A.;TELETEL-08XX-SAL;97,12;424;337;1044,3;3,1
2026-06-07;TELECOM ARGENTINA S.A.;POI-SANPEDRO-SIP-SAL;2,27;409;8;20,3;2,54
2026-06-07;TELECOM ARGENTINA S.A.;POI-JUJUY-SIP-SAL;88,24;348;120;79,53;0,66
2026-06-07;NSS S.A.;Voipack-genesys-out;100;346;344;568;1,65
2026-06-07;IDT CORPORATION DE ARGENTINA S.A.;IDT-DID-SAL;86,29;334;277;378,13;1,37
2026-06-07;AZCOM SRL;492508-SAL;100;327;327;840,08;2,57
2026-06-07;BT LATAM ARGENTINA S.A. a borrar;BTLATAM-LD-Saliente;88,73;322;126;19,32;0,15
2026-06-07;BUSSINESS TELECOMMUNICATIONS SERVICES INC.;636361-SAL;0;310;0;0;0
2026-06-07;TELECOM ARGENTINA S.A.;POI-ZARATE-SIP-SAL;90,91;262;110;54,03;0,49
2026-06-07;SEGUROS BERNARDINO RIVADAVIA COOP LTDA;1926286-SAL;100;252;252;793,5;3,15
2026-06-07;BELGACOM INTERNATIONAL CARRIER SERVICE S.A.;BICS-800-SAL;91,81;241;213;1208,58;5,67
2026-06-07;CAT TECHNOLOGIES ARGENTINA SOCIEDAD ANONIMA;CATDID-SAL;100;235;235;55,72;0,24
2026-06-07;COMERCIALIZADORA ONLINE S.A;EUROCALLDID-SAL;100;219;219;837,95;3,83
2026-06-07;TELETEL S. A.;647201-SAL;98,22;205;166;1877,38;11,31
2026-06-07;CETROGAR SA;CETROGAR-SAL;0;176;0;0;0
2026-06-07;NSS S.A.;69132-SWISS-SAL;100;166;147;356,82;2,43
2026-06-07;MENTAWAI S.R.L.;666803-SAL;100;166;164;176,73;1,08
2026-06-07;DIDXL SP Z.O.O.;DIDXL-800-SAL;95,12;164;156;799,78;5,13
2026-06-07;CREDICUOTAS CONSUMO S.A.;13088519-SAL;100;159;152;231,55;1,52
2026-06-07;ALLEVA CLAUDIO HECTOR;1505281-SAL;97,81;157;134;271,28;2,02
2026-06-07;Eduardo Trotta;ETROTTA-SAL;100;151;35;5;0,14
2026-06-07;LEVEL 3;LEVEL3-LD-SAL;66,67;148;48;27,7;0,58
